year;date;time;y;x;type;injured;died
2021;27.2.2021;19:30:00;42,70056;23,37216;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;27.2.2021;17:45:00;42,74127;23,3451;БЛЪСКАНЕ НА СПРЯНО ППС;не;не
2021;27.2.2021;18:25:00;42,6247;23,35514;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;27.2.2021;18:25:00;42,6247;23,35514;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;27.2.2021;17:00:00;42,68543;23,46449;БЛЪСКАНЕ НА ПАРКИРАНО ППС;не;не
2021;28.2.2021;2:00:00;42,71745;23,25888;БЛЪСКАНЕ В ПРЕДПАЗНА ОГРАДА;не;не
2021;28.2.2021;11:30:00;42,73035;23,25415;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;28.2.2021;11:30:00;42,73035;23,25415;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;28.2.2021;11:20:00;42,69755;23,3097;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;28.2.2021;11:20:00;42,69755;23,3097;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;28.2.2021;13:00:00;42,64918;23,33534;БЛЪСКАНЕ НА ПАРКИРАНО ППС;не;не
2021;28.2.2021;14:03:00;42,68492;23,35159;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;28.2.2021;14:03:00;42,68492;23,35159;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;28.2.2021;14:04:00;42,63912;23,41273;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;28.2.2021;14:04:00;42,63912;23,41273;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;28.2.2021;14:04:00;42,63912;23,41273;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;28.2.2021;13:00:00;42,64919;23,33539;ДРУГ ВИД ПТП;не;не
2021;28.2.2021;16:00:00;42,71004;23,43197;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;28.2.2021;16:00:00;42,71004;23,43197;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;28.2.2021;16:00:00;42,67979;23,32129;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;28.2.2021;16:00:00;42,67979;23,32129;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;28.2.2021;16:50:00;42,69385;23,31945;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;28.2.2021;16:50:00;42,69385;23,31945;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;28.2.2021;17:00:00;42,64829;23,33352;СБЛЪСКВАНЕ МЕЖДУ МПС ЧЕЛНО;не;не
2021;28.2.2021;17:00:00;42,64829;23,33352;СБЛЪСКВАНЕ МЕЖДУ МПС ЧЕЛНО;не;не
2021;28.2.2021;17:35:00;42,69708;23,3577;СБЛЪСКВАНЕ МЕЖДУ МПС ПОД ЪГЪЛ;не;не
2021;28.2.2021;17:35:00;42,69708;23,3577;СБЛЪСКВАНЕ МЕЖДУ МПС ПОД ЪГЪЛ;не;не
2021;28.2.2021;19:00:00;42,73754;23,29197;БЛЪСКАНЕ НА ПАРКИРАНО ППС;не;не
2021;27.2.2021;19:30:00;42,65581;23,37614;БЛЪСКАНЕ НА ПАРКИРАНО ППС;не;не
2021;28.2.2021;20:00:00;42,69825;23,36241;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;28.2.2021;20:00:00;42,69825;23,36241;СБЛЪСКВАНЕ МЕЖДУ МПС ОТЗАД;не;не
2021;8.1.2021;16:00:00;42,71659;23,27997;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;8.1.2021;16:00:00;42,71659;23,27997;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;28.2.2021;21:55:00;42,69595;23,28463;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;28.2.2021;21:55:00;42,69595;23,28463;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;1.3.2021;0:30:00;42,64441;23,4012;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;1.3.2021;0:30:00;42,64441;23,4012;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;1.3.2021;7:50:00;42,7184;23,29034;БЛЪСКАНЕ НА СПРЯНО ППС;не;не
2021;1.3.2021;7:50:00;42,7184;23,29034;БЛЪСКАНЕ НА СПРЯНО ППС;не;не
2021;1.3.2021;8:35:00;42,68476;23,45356;БЛЪСКАНЕ НА ЖИВОТНО;не;не
2021;1.3.2021;8:40:00;42,68158;23,31098;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;1.3.2021;8:40:00;42,68158;23,31098;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;1.3.2021;8:40:00;42,68158;23,31098;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;1.3.2021;9:30:00;42,6947;23,22771;СБЛЪСКВАНЕ МЕЖДУ МПС ЧЕЛНО;не;не
2021;1.3.2021;9:30:00;42,6947;23,22771;СБЛЪСКВАНЕ МЕЖДУ МПС ЧЕЛНО;не;не
2021;1.3.2021;9:45:00;42,65424;23,31571;СБЛЪСКВАНЕ МЕЖДУ МПС ПОД ЪГЪЛ;не;не
2021;1.3.2021;9:45:00;42,65424;23,31571;СБЛЪСКВАНЕ МЕЖДУ МПС ПОД ЪГЪЛ;не;не
2021;1.3.2021;10:00:00;42,60792;23,36729;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;1.3.2021;10:00:00;42,60792;23,36729;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;1.3.2021;10:10:00;42,66658;23,33869;БЛЪСКАНЕ НА ПЕШЕХОДЕЦ;не;не
2021;1.3.2021;10:10:00;42,66658;23,33869;БЛЪСКАНЕ НА ПЕШЕХОДЕЦ;не;да
2021;1.3.2021;10:00:00;42,70105;23,32426;БЛЪСКАНЕ НА ПАРКИРАНО ППС;не;не
2021;1.3.2021;11:00:00;42,65998;23,3166;СБЛЪСКВАНЕ МЕЖДУ МПС ПОД ЪГЪЛ;не;не
2021;1.3.2021;11:00:00;42,65998;23,3166;СБЛЪСКВАНЕ МЕЖДУ МПС ПОД ЪГЪЛ;не;не
2021;1.3.2021;11:15:00;42,70353;23,33317;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;1.3.2021;11:15:00;42,70353;23,33317;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;1.3.2021;11:00:00;42,71806;23,34302;ДРУГ ВИД ПТП;не;не
